BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
O2.UC35.2__NODE_7213_length_5097_cov_3.16819__5097__resorcinol__ANTISMASH__0_5097,3.67468935954,-,-,-,0.0122885410014815,NZ_KB890326,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes
V1.UC52.0__NODE_1350_length_21860_cov_2.35538__21860__nrps__ANTISMASH__0_21860,2.86464968805,-,-,-,0.0227356660758826,N/A,N/A,Unassigned
O2.UC40.0__NODE_2356_length_11454_cov_1.20563__11454__nrps__ANTISMASH__0_11454,2.46406571594,-,-,-,0.21382724368872,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes
O2.UC27.2__NODE_3230_length_6168_cov_1.50875__6168__nrps__ANTISMASH__0_6168,1.88631078534,-,-,-,0.340920066025231,N/A,N/A,Unassigned
V1.CD41.0__NODE_5730_length_6247_cov_2.11111__6247__nrps__ANTISMASH__0_6247,3.32084889141,CD,3.09666275803,0.00501947170344,0.00501947170343627,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes
V1.CD10.0__NODE_524_length_14851_cov_8.45918__14851__bacteriocin__ANTISMASH__0_14851,3.28863346536,-,-,-,0.0963613093986315,NZ_NCWV01000035,Lactococcus lactis,Firmicutes
V1.UC53.4__NODE_4088_length_7143_cov_2.74097__7143__lantipeptide__ANTISMASH__0_7143,3.73758770307,-,-,-,0.110575587774332,NZ_CZAW01000005,Blautia wexlerae,Firmicutes
V1.CD35.1__NODE_2934_length_7467_cov_2.68254__7467__nrps__ANTISMASH__0_7467,1.66596431564,-,-,-,0.0659539334913195,N/A,N/A,Unassigned
O2.UC47.0__NODE_60_length_94426_cov_8.02969__44278__nrps__ANTISMASH__8390_52668,3.02126959621,-,-,-,0.0286650118911614,N/A,N/A,Unassigned
V1.CD10.0__NODE_309_length_23846_cov_1.42827__23846__bacteriocin__ANTISMASH__0_23846,3.02303703796,-,-,-,0.708380707210318,NZ_KV794107,Streptococcus sp. HMSC078H03,Firmicutes
O2.UC12.2__NODE_353_length_41551_cov_11.2628__26464__arylpolyene__ANTISMASH__0_26464,3.01359949606,-,-,-,0.21382724368872,N/A,N/A,Unassigned
O2.UC9.2__NODE_5914_length_6026_cov_1.18975__6026__nrps__ANTISMASH__0_6026,1.35421129271,-,-,-,0.4393230702767,NZ_LFIL01000008,Ruminococcus sp. DSM 100440,Firmicutes
O2.UC29.2__NODE_4944_length_5221_cov_10.1427__5221__nrps__ANTISMASH__0_5221,1.59199134578,-,-,-,0.4393230702767,N/A,N/A,Unassigned
V1.CD25.4__NODE_1517_length_22823_cov_6.87966__22823__arylpolyene__ANTISMASH__0_22823,2.62535604908,CD,2.51136385112,0.00893280927579,0.00893280927579476,N/A,N/A,Unassigned
O2.UC34.2__NODE_780_length_21279_cov_1.88918__21279__lantipeptide__ANTISMASH__0_21279,3.49573242573,-,-,-,0.62878136661572,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
O2.UC4.2__NODE_1629_length_18859_cov_4.07977__18859__arylpolyene__ANTISMASH__0_18859,2.94483100416,-,-,-,0.0360388333689504,N/A,N/A,Unassigned
V1.UC55.0__NODE_187_length_98541_cov_9.14563__47600__nrps-ladderane__ANTISMASH__0_47600,2.10598511753,-,-,-,0.170896650446723,N/A,N/A,Unassigned
V1.UC2.0__NODE_1_length_401813_cov_2.74405__43606__arylpolyene__ANTISMASH__173833_217439,1.95044750097,-,-,-,0.347704122320024,N/A,N/A,Unassigned
O2.UC47.2__NODE_9_length_236625_cov_49.2843__47443__nrps__ANTISMASH__97344_144787,3.04036239984,-,-,-,0.136937121316629,N/A,N/A,Unassigned
V1.CD41.0__NODE_147_length_95504_cov_10.0701__39311__bacteriocin-arylpolyene__ANTISMASH__41138_80449,2.15635110746,-,-,-,0.564095480290731,NZ_CVTY01000007,Dakarella massiliensis,Proteobacteria
V1.UC5.3__NODE_751_length_45286_cov_8.53883__23138__lantipeptide__ANTISMASH__3304_26442,3.40633439493,-,-,-,0.69952050510939,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
V1.CD22.0__NODE_7806_length_6498_cov_2.68198__6498__nrps__ANTISMASH__0_6498,2.24262972389,-,-,-,0.217985707820445,NZ_LLKB01000001,Lachnospiraceae bacterium TF01-11,Firmicutes
